"Unnamed: 0","reward","len","score","turns","dlvl","max_hitpoints","max_energy","armor_class","experience_level","experience_points","eating_score","gold_score","scout_score","sokobanfillpit_score","staircase_pet_score","staircase_score","ttyrecname","episode_number","true_objective","maxlvl","role","race","gender","align","death"
"151","969","10439","969","7628","1","32","28","5","5","233","7709","27","562","0","5","24","nle.2693391.6.ttyrec3.bz2","6","969","1","Mon","Hum","Mal","Neu","quit"
"152","1258","10565","1258","8749","1","35","36","3","5","160","7317","16","533","0","0","6","nle.2693397.13.ttyrec3.bz2","13","1258","1","Mon","Hum","Mal","Neu","killed by a jackal while fainted from lack of food"
"153","2188","12759","2188","9835","1","54","30","3","6","547","9564","0","446","0","1","28","nle.2693395.11.ttyrec3.bz2","11","2188","1","Mon","Hum","Mal","Neu","quit"
"154","4102","30343","4102","21125","1","52","45","-1","7","971","20627","224","518","0","2","5","nle.2693399.8.ttyrec3.bz2","8","4102","1","Mon","Hum","Mal","Neu","killed by a hill orc"
"155","5838","33766","5838","24040","2","57","43","2","8","1414","23176","186","1003","0","5","63","nle.2693390.7.ttyrec3.bz2","7","5838","2","Mon","Hum","Mal","Neu","killed by Ms. Wonotobo; the shopkeeper"
"156","415","4041","415","3273","1","28","20","3","4","102","3297","7","503","0","0","0","nle.2693390.8.ttyrec3.bz2","8","415","1","Mon","Hum","Mal","Neu","poisoned by a rotted newt corpse while helpless"
"157","2670","16690","2670","12201","1","8","51","7","7","662","11561","12","520","0","0","0","nle.2693388.10.ttyrec3.bz2","10","2670","1","Mon","Hum","Mal","Neu","died of starvation while fainted"
"158","3702","19905","3702","14852","1","49","34","1","7","913","14581","50","579","0","0","11","nle.2693394.14.ttyrec3.bz2","14","3702","1","Mon","Hum","Mal","Neu","poisoned by a rotted rock piercer corpse"
"159","3630","23236","3630","15619","1","46","54","3","7","900","16838","48","530","0","1","40","nle.2693452.7.ttyrec3.bz2","7","3630","1","Mon","Hum","Mal","Neu","choked on a lembas wafer"
"160","1196","12153","1196","10216","1","36","45","3","5","161","8231","8","634","0","29","44","nle.2693397.14.ttyrec3.bz2","14","1196","1","Mon","Hum","Mal","Neu","died of starvation while praying"
"161","4212","25752","4212","18568","1","39","39","3","7","1046","18582","28","634","0","14","96","nle.2693400.7.ttyrec3.bz2","7","4212","1","Mon","Hum","Mal","Neu","poisoned by a rotted dwarf corpse"
